"","level","success","success_rate","offered","id","rank","tf","idf","level1","level2","psuccess","lemmaTF","bucket","model_prediction","model_correct","age"
"2597",2,0,47.61904762,21,10717,654,152,0.319148936,2,2,81.81818182,2388508,6,1,0,9.84552707519946
"2598",1,0,62.5,8,12923,5016,25,0.319148936,3,1,72.72727273,163503,4,1,0,9.84552707519946
"2599",1,0,30.3030303,33,11573,1229,314,0.638297872,1,1,90.90909091,1262660,7,1,0,9.84552707519946
"2600",1,0,60.86956522,23,9583,562,72,0.574468085,2,1,81.81818182,2370510,4,1,0,9.84552707519946
"2601",1,1,80,5,17418,3029,2,0.042553191,5,1,54.54545455,83637,2,1,1,17.8210611046922
"2602",2,1,30.55555556,36,12521,5060,43,0.510638298,2,2,81.81818182,912189,7,1,1,17.8210611046922
"2603",2,1,30.55555556,36,16456,1786,43,0.510638298,3,2,81.81818182,912189,7,1,1,17.8210611046922
"2604",2,1,42.85714286,21,9677,2466,125,0.340425532,2,2,81.81818182,1278967,6,1,1,17.8210611046922
"2605",1,1,37.5,8,17742,4019,5,0.085106383,4,1,63.63636364,83498,7,1,1,17.8210611046922
"2606",2,1,4.761904762,21,9839,5470,41,0.489361702,2,2,81.81818182,198888,10,1,1,17.8210611046922
"2607",1,1,66.66666667,6,13192,1326,23,0.255319149,4,1,63.63636364,575477,4,1,1,17.8210611046922
"2608",1,1,30.43478261,23,12500,7798,88,0.510638298,2,1,81.81818182,159198,7,1,1,17.8210611046922
"2609",1,1,54.16666667,24,10209,4743,45,0.404255319,2,1,81.81818182,942038,5,1,1,17.8210611046922
"2610",2,1,20,5,17058,2091,0,0,8,2,27.27272727,202777,8,0,0,17.8210611046922
"2611",1,1,75,16,12371,243,56,0.638297872,2,1,81.81818182,5492894,3,1,1,17.8210611046922
"2612",3,1,40,5,11142,2286,3,0.063829787,9,3,18.18181818,580107,6,0,0,17.8210611046922
"2613",1,1,37.5,8,18020,5317,3,0.063829787,6,1,45.45454545,35240,7,0,0,17.8210611046922
"2614",1,1,72,25,10003,713,514,0.914893617,1,1,90.90909091,8349970,3,1,1,17.8210611046922
"2615",2,1,28.57142857,7,11328,470,23,0.255319149,4,2,63.63636364,2590904,8,1,1,17.8210611046922
"2616",2,1,17.39130435,23,16107,74,2,0.042553191,1,2,90.90909091,312055,9,1,1,17.8210611046922
"2617",2,1,40.90909091,22,10436,178,5396,1,1,2,90.90909091,96259235,6,1,1,17.8210611046922
"2618",2,1,33.33333333,3,13501,4973,13,0.212765957,5,2,54.54545455,189455,7,1,1,17.8210611046922
"2619",2,1,35.71428571,28,18282,8931,3,0.042553191,1,2,90.90909091,52556,7,1,1,17.8210611046922
"2620",1,1,33.33333333,6,12878,976,20,0.340425532,4,1,63.63636364,1594538,7,1,1,17.8210611046922
"2621",2,1,50,6,16964,1870,1,0.021276596,8,2,27.27272727,360288,5,0,0,17.8210611046922
"2622",2,0,28.57142857,7,14434,7098,10,0.127659574,7,2,36.36363636,35285,8,0,1,17.8210611046922
"2623",3,1,58.33333333,24,9582,605,148,0.765957447,1,3,90.90909091,1442122,5,1,1,17.8210611046922
"2624",3,1,39.13043478,23,12716,740,71,0.382978723,2,3,81.81818182,817190,7,1,1,17.8210611046922
"2625",2,1,62.96296296,27,9548,403,1499,0.957446809,1,2,90.90909091,2725582,4,1,1,17.8210611046922
"2626",3,0,48.48484848,33,12226,2,220,0.872340426,1,3,90.90909091,10257123,6,1,0,17.8210611046922
"2627",3,0,48.48484848,33,17057,2088,220,0.872340426,6,3,90.90909091,10257123,6,1,0,17.8210611046922
"2628",3,0,48.48484848,33,18328,2088,220,0.872340426,6,3,90.90909091,10257123,6,1,0,17.8210611046922
"2629",2,1,25,4,15565,5869,10,0.063829787,8,2,27.27272727,125586,8,0,0,17.8210611046922
"2630",2,1,56,25,12227,129,237,0.872340426,1,2,90.90909091,2957048,5,1,1,17.8210611046922
"2631",1,1,50,2,13856,1129,13,0.170212766,5,1,54.54545455,217912,5,1,1,17.8210611046922
"2632",1,0,43.75,32,9721,1758,80,0.617021277,2,1,81.81818182,527927,6,1,0,17.8210611046922
"2633",2,1,75,4,14004,7976,9,0.170212766,6,2,45.45454545,81372,3,0,0,17.8210611046922
"2634",2,1,33.33333333,3,13489,2247,14,0.212765957,5,2,54.54545455,592734,7,1,1,17.8210611046922
"2635",2,1,66.66666667,3,12612,73,35,0.446808511,3,2,72.72727273,2912370,4,1,1,17.8210611046922
"2636",2,0,50,8,12872,528,22,0.340425532,3,2,72.72727273,1579288,5,1,0,17.8210611046922
"2637",1,1,66.66666667,3,16660,1241,1,0.021276596,3,1,72.72727273,201332,4,1,1,17.8210611046922
